"activites_accidents_0_date","activites_accidents_0_impact","activites_accidents_0_milieu_touche","activites_accidents_0_reference_rapport","activites_accidents_0_type_accident","activites_accidents_0_type_pollution","activites_etat_occupation_site","activites_exploitants_0_date_debut","activites_exploitants_0_date_fin","activites_exploitants_0_nom_raison_sociale","activites_exploitants_1_date_debut","activites_exploitants_1_date_fin","activites_exploitants_1_nom_raison_sociale","activites_exploitants_2_date_debut","activites_exploitants_2_date_fin","activites_exploitants_2_nom_raison_sociale","activites_exploitants_3_date_debut","activites_exploitants_3_date_fin","activites_exploitants_3_nom_raison_sociale","activites_exploitants_4_date_debut","activites_exploitants_4_date_fin","activites_exploitants_4_nom_raison_sociale","activites_exploitants_5_date_debut","activites_exploitants_5_date_fin","activites_exploitants_5_nom_raison_sociale","activites_exploitants_6_date_debut","activites_exploitants_6_date_fin","activites_exploitants_6_nom_raison_sociale","activites_exploitants_7_date_debut","activites_exploitants_7_date_fin","activites_exploitants_7_nom_raison_sociale","activites_exploitants_8_date_debut","activites_exploitants_8_date_fin","activites_exploitants_8_nom_raison_sociale","activites_historique_activites_0_autres_infos","activites_historique_activites_0_code_activite","activites_historique_activites_0_date_debut","activites_historique_activites_0_date_fin","activites_historique_activites_0_groupe_sei","activites_historique_activites_0_importance","activites_historique_activites_0_libelle_activite","activites_historique_activites_0_origine_date","activites_historique_activites_0_ref_dossier","activites_historique_activites_1_autres_infos","activites_historique_activites_1_code_activite","activites_historique_activites_1_date_debut","activites_historique_activites_1_date_fin","activites_historique_activites_1_groupe_sei","activites_historique_activites_1_importance","activites_historique_activites_1_libelle_activite","activites_historique_activites_1_origine_date","activites_historique_activites_1_ref_dossier","activites_historique_activites_2_autres_infos","activites_historique_activites_2_code_activite","activites_historique_activites_2_date_debut","activites_historique_activites_2_date_fin","activites_historique_activites_2_groupe_sei","activites_historique_activites_2_importance","activites_historique_activites_2_libelle_activite","activites_historique_activites_2_origine_date","activites_historique_activites_2_ref_dossier","activites_historique_activites_3_autres_infos","activites_historique_activites_3_code_activite","activites_historique_activites_3_date_debut","activites_historique_activites_3_groupe_sei","activites_historique_activites_3_importance","activites_historique_activites_3_libelle_activite","activites_historique_activites_3_origine_date","activites_historique_activites_4_autres_infos","activites_historique_activites_4_code_activite","activites_historique_activites_4_date_debut","activites_historique_activites_4_groupe_sei","activites_historique_activites_4_importance","activites_historique_activites_4_libelle_activite","activites_historique_activites_4_origine_date","activites_origine_date","consultation_consultation_sd_ct_0_consultation_service","consultation_consultation_sd_ct_0_date_consultation_service","consultation_consultation_sd_ct_0_date_reponse_service","consultation_consultation_sd_ct_0_nom_service","consultation_consultation_sd_ct_0_reponse_service","consultation_consultation_sd_ct_1_consultation_service","consultation_consultation_sd_ct_1_date_consultation_service","consultation_consultation_sd_ct_1_date_reponse_service","consultation_consultation_sd_ct_1_nom_service","consultation_consultation_sd_ct_1_reponse_service","environnement_captage_aep","environnement_distance_captage_aep","environnement_formation_superficielle","environnement_milieu_implantation","environnement_perimetre_protection","environnement_position_aep","environnement_substratum","environnement_zones_contraintes_0_commentaires","environnement_zones_contraintes_0_distance_m","environnement_zones_contraintes_0_type_zone","environnement_zones_contraintes_1_distance_m","environnement_zones_contraintes_1_type_zone","environnement_zones_contraintes_2_distance_m","environnement_zones_contraintes_2_type_zone","etudes_decisions_0_date","etudes_decisions_0_decision","etudes_decisions_0_nature","etudes_decisions_0_type","etudes_decisions_1_date","etudes_decisions_1_decision","etudes_decisions_1_nature","etudes_decisions_1_type","identification_autres_identifications_0_numero","identification_autres_identifications_0_organisme_bd_associe","identification_autres_identifications_1_numero","identification_autres_identifications_1_organisme_bd_associe","identification_autres_identifications_2_numero","identification_autres_identifications_2_organisme_bd_associe","identification_autres_identifications_3_numero","identification_autres_identifications_3_organisme_bd_associe","identification_autres_identifications_4_numero","identification_autres_identifications_4_organisme_bd_associe","identification_etat_connaissance","identification_identifiant_site","identification_modificateurs_0_date","identification_modificateurs_0_nom","identification_noms_usuels","identification_raison_sociale_0_nom","identification_raison_sociale_1_nom","identification_raison_sociale_2_nom","identification_sieges_sociaux_0_date","identification_sieges_sociaux_0_nom","identification_sieges_sociaux_1_date","identification_sieges_sociaux_1_nom","identification_sous_surveillance","identification_unite_gestionnaire","identification_visite_site","localisation_adresses_0_bis_ter","localisation_adresses_0_nom_voie","localisation_adresses_0_numero","localisation_adresses_0_type_voie","localisation_altitude_m","localisation_autres_communes_concernees_0_code_insee","localisation_autres_communes_concernees_0_nom","localisation_carte_geologique_0_carte","localisation_carte_geologique_0_numero","localisation_cartes_0_annee_edition","localisation_cartes_0_carte","localisation_cartes_0_echelle","localisation_cartes_0_presence_site","localisation_cartes_0_reference_dossier","localisation_cartes_1_annee_edition","localisation_cartes_1_carte","localisation_cartes_1_echelle","localisation_cartes_1_presence_site","localisation_cartes_1_reference_dossier","localisation_cartes_2_annee_edition","localisation_cartes_2_carte","localisation_cartes_2_echelle","localisation_cartes_2_presence_site","localisation_cartes_2_reference_dossier","localisation_cartes_3_annee_edition","localisation_cartes_3_carte","localisation_cartes_3_echelle","localisation_cartes_3_presence_site","localisation_cartes_3_reference_dossier","localisation_code_insee","localisation_commune_principale","localisation_coordonnees_L2e_adresse_0","localisation_coordonnees_L2e_adresse_1","localisation_coordonnees_L2e_centroide_0","localisation_coordonnees_L2e_centroide_1","localisation_coordonnees_L93_centroide_0","localisation_coordonnees_L93_centroide_1","localisation_coordonnees_L_zone_centroide_0","localisation_coordonnees_L_zone_centroide_1","localisation_localisation","localisation_zone_lambert_initiale","proprietaires_cadastre_0_date","proprietaires_cadastre_0_echelle","proprietaires_cadastre_0_nom","proprietaires_cadastre_0_num_parcelle","proprietaires_cadastre_0_section","proprietaires_cadastre_1_date","proprietaires_cadastre_1_echelle","proprietaires_cadastre_1_nom","proprietaires_cadastre_1_num_parcelle","proprietaires_cadastre_1_section","proprietaires_cadastre_2_nom","proprietaires_cadastre_2_num_parcelle","proprietaires_cadastre_2_section","proprietaires_cadastre_3_nom","proprietaires_cadastre_3_num_parcelle","proprietaires_cadastre_3_section","proprietaires_cadastre_4_nom","proprietaires_cadastre_4_num_parcelle","proprietaires_cadastre_4_section","proprietaires_nombre_proprietaires_actuels","proprietaires_proprietaires_0_date_reference","proprietaires_proprietaires_0_exploitant","proprietaires_proprietaires_0_nom","proprietaires_proprietaires_0_type","proprietaires_proprietaires_10_date_reference","proprietaires_proprietaires_10_exploitant","proprietaires_proprietaires_10_nom","proprietaires_proprietaires_11_date_reference","proprietaires_proprietaires_11_exploitant","proprietaires_proprietaires_11_nom","proprietaires_proprietaires_11_type","proprietaires_proprietaires_12_date_reference","proprietaires_proprietaires_12_exploitant","proprietaires_proprietaires_12_nom","proprietaires_proprietaires_12_type","proprietaires_proprietaires_1_date_reference","proprietaires_proprietaires_1_exploitant","proprietaires_proprietaires_1_nom","proprietaires_proprietaires_1_type","proprietaires_proprietaires_2_date_reference","proprietaires_proprietaires_2_exploitant","proprietaires_proprietaires_2_nom","proprietaires_proprietaires_2_type","proprietaires_proprietaires_3_date_reference","proprietaires_proprietaires_3_exploitant","proprietaires_proprietaires_3_nom","proprietaires_proprietaires_3_type","proprietaires_proprietaires_4_date_reference","proprietaires_proprietaires_4_exploitant","proprietaires_proprietaires_4_nom","proprietaires_proprietaires_4_type","proprietaires_proprietaires_5_date_reference","proprietaires_proprietaires_5_exploitant","proprietaires_proprietaires_5_nom","proprietaires_proprietaires_5_type","proprietaires_proprietaires_6_date_reference","proprietaires_proprietaires_6_exploitant","proprietaires_proprietaires_6_nom","proprietaires_proprietaires_6_type","proprietaires_proprietaires_7_date_reference","proprietaires_proprietaires_7_exploitant","proprietaires_proprietaires_7_nom","proprietaires_proprietaires_7_type","proprietaires_proprietaires_8_date_reference","proprietaires_proprietaires_8_exploitant","proprietaires_proprietaires_8_nom","proprietaires_proprietaires_8_type","proprietaires_proprietaires_9_date_reference","proprietaires_proprietaires_9_exploitant","proprietaires_proprietaires_9_nom","proprietaires_proprietaires_9_type","sources_information_principale","utilisateurs_utilisateurs_0_nom","utilisateurs_utilisateurs_0_statut","utilisateurs_utilisateurs_0_type","utilisations_code_pos","utilisations_nombre_utilisateurs_actuels","utilisations_reamenagement_sensible","utilisations_site_friche","utilisations_site_reamenage","utilisations_surface_batie","utilisations_surface_totale"
"","","","","","","Ne sait pas","01/01/1958","","AUBERY","","","","","","","","","","","","","","","","","","","","","","","","","","C11","01/01/1111","","3ième groupe","?","Fabrication de boissons","","","","C11.01","01/01/1111","","3ième groupe","","Production de boissons alcooliques distillées et liqueurs","","1001 w 3","Classe 2","C20.41Z","01/01/1958","","1er groupe","Déclaration","Fabrication de savons, détergents et produits d'entretien","","1001 w 3","","","","","","","","","","","","","","","AP=Arrêté préfectoral","Oui","07/12/2009","","MAIRIE","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inventorié","GUA97100001","","","Distillerie La Rivière","Distillerie La Rivière","","","01/01/1111","Grande Anse  Deshaies","","","?","GUA","Oui, site non retrouvé","","","","","6","","","","","2002","IGN 4602 GT","1/25000","Oui","","1956","Plan d'ensemble 1","1/500","Oui","1001 w 3","","Croquis","1/20000","Oui","1001 w 3","1956","Plan de situation 1","1/200","Oui","1001 w 3","97111","DESHAIES  (97111)","","","","","","","630 060","1 804 450","97126 DESHAIES","GUADELOUPE-STE-ANNE","","","","0","0","","","","","","","","","","","","","","","?","01/01/1958","Oui","AUBERY Octave","Personne physique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Archives Départementales - 1001 w 3","","","","","?","","","","","120 (en ha)"
"","","","","","","Ne sait pas","01/01/1949","","Département","","","","","","","","","","","","","","","","","","","","","","","","","","C10.7","01/01/1111","","3ième groupe","","Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires","","33 aa 1","","C11.01","01/01/1111","","3ième groupe","","Production de boissons alcooliques distillées et liqueurs","","33 aaa 1","","A01.2","01/01/1111","","3ième groupe","?","Cultures permanentes (légumes, céréales, fruits, fleurs, pépinières)","","33 aaa 1","","","","","","","","","","","","","","","","Oui","07/12/2009","","MAIRIE","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inventorié","GUA97100002","","","Usine du Robert","Centre industriel et agricole du Robert","","","01/01/1111","Capesterre de Marie-Galante","","","?","GUA","Non","","","","","120","97112","GRAND-BOURG","","","2002","IGN  N°4604 GT","1/25000","Oui","33 aaa 1","","","","","","","","","","","","","","","","97108","CAPESTERRE  (97108)","","","","","","","","","97117 CAPESTERRE DE M/GALANTE","","","","","","","","","","","","","","","","","","","","","?","01/01/1946","Oui","Département","Service et administration locale, régionale ou nationale ou son représentant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Archives Départementales - Fonds de l'incendie de 1955 - 33  aaa 1","","","","","","","","","2 676 (en m2)","1 806 (en ha)"
"01/01/1956","Animaux","Eau superficielle","","Rejet","Eaux résiduaire","Activité terminée","01/01/1932","","COLONIE","","","","","","","","","","","","","","","","","","","","","","","","","","C10.7","01/01/1111","","3ième groupe","?","Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires","","646-6","","C11","01/01/1111","","3ième groupe","","Fabrication de boissons","","646-6","","A01.2","01/01/1869","01/01/1980","3ième groupe","","Cultures permanentes (légumes, céréales, fruits, fleurs, pépinières)","","646-6","","","","","","","","","","","","","","","","Oui","07/12/2009","","MAIRIE","Non","","","","","","Non","","Remblais","Péri-urbain","","","Calcaire tendre/Craie","","0","Littoral (sans zone de baignade)","","","","","","","","","","","","","","","","","","","","","","","Inventorié","GUA97100003","","","Usine Darboussier","Société Industrielle et Agricole de Pointe-à- Pitre","","","01/01/1111","Paris I, Rue Blanche","","","?","GUA","Non","","","","","","","","","","2002","IGN N° 4603 GT","1/25000","Oui","","","","","","","","","","","","","","","","","97120","POINTE A PITRE  (97120)","","","","","","","657 130","1 795 400"," 97110 POINTE-A-PITRE","GUADELOUPE-STE-ANNE","","","","","","","","","","","","","","","","","","","","?","01/01/1932","Oui","COLONIE","Service et administration locale, régionale ou nationale ou son représentant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Archives départementales - 646-6 et 1060 w 12 DRAC","","","","","","Oui","Partiellement","Partiellement","","2 038 (en ha)"
"","","","","","","Activité terminée","01/01/1111","01/01/1928","M. CHARNEAU","01/01/1941","01/01/1947","SCODEL","01/01/1947","01/01/1955","REDO","","","","","","","","","","","","","","","","","","","","D35.42Z","01/01/1916","","3ième groupe","?","Centrale électrique hydraulique","?=Origine de la date non connue","","","D35.42Z","01/01/1938","01/01/1955","3ième groupe","?","Centrale électrique hydraulique","DCD=Date connue d'après le dossier","SC 1661","","","","","","","","","","","","","","","","","","","","","","","","DCD=Date connue d'après le dossier","Oui","07/12/2009","","MAIRIE","Non","","","","","","Non","","Sables/Graviers/Galets","Rural","","","Roches cristallines ou volcaniques","","0","Cours d'eau","","","","","","","","","","","","","","","","","","","","","","","Inventorié","GUA97100004","","","REDO","Usine Hydroélectrique de Dolé","","","01/01/1111","Régie de l'Usine Hydroélectrique de Dolé Place Saint-François 97100 BASSE-TERRE","","","?","GUA","Non","","","","","205","97109","GOURBEYRE","","","1987","IGN 4606 G","1/25000","Oui","","","Croquis","1/2mm","Oui","","2002","IGN N° 4605 GT","1/25000","Oui","","","","","","","97109","GOURBEYRE  (97109)","","","","","","","643 020","1 768 370","Dolé 97113 GOURBEYRE","GUADELOUPE-STE-ANNE","01/01/1970","1/2000","","61 et 62","AM","","","","","","","","","","","","","","","?","01/01/1970","?","EDF","Service et administration locale, régionale ou nationale ou son représentant","","","","","","","","","","","","01/01/1947","Non","C.D.G.E.","Service et administration locale, régionale ou nationale ou son représentant","01/01/1940","Oui","C.G.D.E.","Service et administration locale, régionale ou nationale ou son représentant","01/01/1950","?","SPEDEG","Service et administration locale, régionale ou nationale ou son représentant","01/01/1928","Oui","M.  Auguste CHARNEAU","Personne physique","01/01/1941","Non","COLONIE","Service et administration locale, régionale ou nationale ou son représentant","","","","","","","","","","","","","","","","","Archives Départementales SC 1661","","","","","?","","","","78 (en m2)","90 (en ha)"
"01/01/1111","","","","","","Activité terminée","01/01/1979","","SOCIETE D'ABATTAGE ET COMMERCIALISATION","","","","","","","","","","","","","","","","","","","","","","","","","ICPE","C10.1","01/01/1979","","3ième groupe","Autorisation","Transformation et conservation de la viande et préparation de produits à base de viande, de la charcuterie et des os (dégraissage, dépôt, équarrissage)","DCD=Date connue d'après le dossier","w 1060 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DCD=Date connue d'après le dossier","Oui","07/12/2009","09/02/2010","MAIRIE","Oui","","","","","","Non","","Sables/Graviers/Galets","Péri-urbain industriel","","","Roches cristallines ou volcaniques","","50","Cours d'eau","","","","","","","","","","","","","","","","","","","","","","","Inventorié","GUA97100005","","","","Société d'abattage et de Commercialisation","","","01/01/1111","Zone Industrielle de Baillif","","","?","GUA","Non","","","","","","","","","","2002","IGN N° 4605 GT","1/25000","Ne sais pas","","1978","Plan de masse 1","1/50","Oui","","1978","Plan de situation 1","1/10000","Oui","","","","","","","97104","BAILLIF  (97104)","","","","","","","634 810","1 770 920","A Coté de l'Abattoir Intercommunal 97123 BAILLIF","GUADELOUPE-STE-ANNE","","","","","","","","","","","","","","","","","","","","?","01/01/1978","Oui","Société d'abattage et commercialisation","Entreprise privée ou son représentant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Archives Départementales w 1060-7","","","","","","","","","","2 038 (en ha)"
"","","","","","","En activité","","","SARA","","","","","","","","","","","","","","","","","","","","","","","","","","V89.03Z","01/01/1111","","1er groupe","Autorisation","Dépôt de liquides inflammables (D.L.I.)","","w 1060 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Oui","07/12/2009","","MAIRIE","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inventorié","GUA97100007","","","SARA","Société Anonyme de la Raffinerie des Antilles","","","01/01/1111","24 cours Michelet Puteaux (Haut de Seine)","","","?","GUA","Oui, site localisé","","","","","","","","","","2002","IGN N°4603 GT","1/25000","Oui","","1968","Plan de situation 1","1/5000","Oui","","","","","","","","","","","","97103","BAIE MAHAULT  (97103)","","","","","","","655 430","1 795 320","Zone Industrielle de la Pointe Jarry 97122 BAIE-MAHAULT","GUADELOUPE-STE-ANNE","","","","","","","","","","","","","","","","","","","","?","19/03/1983","Oui","SARA","Entreprise privée ou son représentant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Archives Départementales w 1060-7 et w 1164-10 DRIRE","","","","","?","","","","",""
"","","","","","","En activité","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Q86.1","01/01/1111","","3ième groupe","","Activités hospitalières","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Oui","07/12/2009","","MAIRIE","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inventorié","GUA97100008","","","","Les Eaux Vives","","","01/01/1111","Matouba Papaye 97120 SAINT-CLAUDE","","","?","GUA","Non","","","","","","","","","","2002","IGN N° 4605 GT","1/25000","Oui","","","","","","","","","","","","","","","","","97124","ST CLAUDE  (97124)","","","","","","","640 810","1 774 700","Section Matouba Papaye 97120 SAINT-CLAUDE","GUADELOUPE-STE-ANNE","","","","","","","","","","","","","","","","","","","","?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Archives départementales w 1060-7","","","","","?","","","","",""
"","","","","","","Ne sait pas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Q86.1","01/01/1111","","3ième groupe","","Activités hospitalières","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Oui","07/12/2009","","MAIRIE","Non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inventorié","GUA97100009","","","","Centre Hospitalier des Abymes","","","01/01/1111"," B.P. 465 97166 ABYMES","","","?","GUA","Non","","","","","","","","","","2002","IGN N° 4603 GT","1/25000","Oui","","","","","","","","","","","","","","","","","97101","ABYMES  (97101)","","","","","","","",""," B.P. 465 -  97166 ABYMES","","","","","","","","","","","","","","","","","","","","","?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Archives départementales w 1060-7","","","","","?","","","","",""
"01/01/1953","Hommes","Eau superficielle","","déversement","vinasse","Activité terminée","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C11.01","01/01/1918","","3ième groupe","?","Production de boissons alcooliques distillées et liqueurs","","","","C10.7","01/01/1925","","3ième groupe","","Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires","","","RD N)81-99 ad /3/3","V89.03Z","01/01/1981","","1er groupe","Déclaration","Dépôt de liquides inflammables (D.L.I.)","RD=Récépissé de déclaration","","","","","","","","","","","","","","","","?=Origine de la date non connue","Oui","07/12/2009","","MAIRIE","Non","","","","","","Non","","Argile","Rural","","","Roches cristallines ou volcaniques","","0","Cours d'eau","","","","","","","","","","","","","","","","","","","","","","","Inventorié","GUA97100010","","","Usine Sucrière de Grosse Montagne Charles SIMONET","Usine Sucrière de Grosse Montagne Charles SIMONET","","","","","","","?","GUA","Oui, site localisé","","","","","","","","","","1987","IGN N° 4602 G","1/25000","Oui","","2002","IGN N°4602","1/25000","Oui","","","","","","","","","","","","97115","LE LAMENTIN  (97115)","","","","","","","644 130","1 795 310","  Grosse Montagne 97129 LAMENTIN","GUADELOUPE-STE-ANNE","01/01/1970","1/2000","","199","AO","","","","","","","","","","","","","","","?","01/01/1918","?","Auguste REIMONENQ","Personne physique","","","","","","","","","","","","01/01/1945","?","Edouard REIMONENQ","Personne physique","01/01/1948","?","Charles SIMMONET","Personne physique","12/03/1981","?","Charles SIMONET","Personne physique","","","","","","","","","","","","","","","","","","","","","","","","","Archives départementales w 1060-12 et w 1164-11 -  DRAC","","","","","?","","Oui","Non","",""
"01/01/1960","Animaux","Eau superficielle","","Déversement","vinasse","Activité terminée","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C10.7","01/01/1800","01/01/1870","3ième groupe","?","Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires","?=Origine de la date non connue","","","C11.01","01/01/1870","01/01/1976","3ième groupe","?","Production de boissons alcooliques distillées et liqueurs","?=Origine de la date non connue","","","","","","","","","","","","","","","","","","","","","","","","","","Oui","07/12/2009","09/02/2010","MAIRIE","Oui","","","","","","Non","","Argile","Rural","","","Roches cristallines ou volcaniques","","0","Cours d'eau","","","","","","","","","","","","","","","","","","","","","","","Inventorié","GUA97100011","","","Distillerie Dubreuil","Distillerie Bouvier","","","","","","","?","GUA","Non","","","","","","","","","","2002","IGN N°4605 GT","1/25000","Oui","","1933","Plan de masse 1","1/1000","Ne sais pas","","1987","IGN N°4606 G","1/25000","Oui","","","","","","","97104","BAILLIF  (97104)","","","","","","","637 360","1 772 480","Bouvier 97123 BAILLIF","GUADELOUPE-STE-ANNE","01/01/1970","1/5000","","33,31,32,207","AS","","","","","","","","","","","","","","","?","01/01/1600","?","Famille DE BOURG","Personne physique","","","","","","","","","","","","01/01/1870","","JOUVEAU / DUBREUIL","","01/01/1700","?","Mrs. DUPUY DES ILETS, MALLIAN, BOUVIER, EGGIMAN","Personne physique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Archives départementales w 1060-12  - DRAC","","","","","?","","","","1 000 (en m2)","75 (en ha)"
